"м. Світлодарське"
" "	"українці"	3126	x	4828
" "	"росіяни"	4736	110	x
"м. Артемове"
" "	"українці"	1077	x	2435
" "	"росіяни"	2802	18	x
"м. Білецьке"
" "	"українці"	4331	x	2838
" "	"росіяни"	2581	78	x
"м. Білозерське"
" "	"українці"	5274	x	6761
" "	"росіяни"	5689	175	x
"м. Вуглегірськ"
" "	"українці"	4225	x	2398
" "	"росіяни"	3714	39	x
"м. Юнокомунарівськ"
" "	"українці"	1889	x	5525
" "	"росіяни"	9756	41	x
"м. Родинське"
" "	"українці"	2725	x	5587
" "	"росіяни"	3145	43	x
"м. Гірник"
" "	"українці"	2208	x	5831
" "	"росіяни"	5662	37	x
"м.Українськ"
" "	"українці"	2995	x	3473
" "	"росіяни"	6375	77	x
"м. Слов'яногірськ"
" "	"українці"	2429	x	474
" "	"росіяни"	773	47	x
"м. Зугрес"
" "	"українці"	2705	x	7624
" "	"росіяни"	8891	105	x
"м. Іловайськ"
" "	"українці"	2869	x	7129
" "	"росіяни"	6989	85	x
"м. Амвросіївка"
" "	"українці"	5750	x	8059
" "	"росіяни"	7050	300	x
"м. Сіверськ"
" "	"українці"	10759	x	935
" "	"росіяни"	2198	239	x
"м. Волноваха"
" "	"українці"	10101	x	8181
" "	"росіяни"	4734	132	x
"м. Мар'їнка"
" "	"українці"	7087	x	1456
" "	"росіяни"	1420	244	x
"м. Красногорівка"
" "	"українці"	4070	x	7272
" "	"росіяни"	4445	99	x
"м. Курахове"
" "	"українці"	6205	x	9113
" "	"росіяни"	5033	116	x
"м. Новоазовськ"
" "	"українці"	2842	x	4525
" "	"росіяни"	4890	52	x
"м. Комсомольське"
" "	"українці"	974	x	6267
" "	"росіяни"	4522	28	x
"м. Андрушівка"
" "	"українці"	9359	x	16
" "	"росіяни"	176	98	x
"м. Баранівка"
" "	"українці"	11816	x	23
" "	"росіяни"	173	96	x
"м. Коростишів"
" "	"українці"	23637	x	234
" "	"росіяни"	1039	247	x
"м. Малин"
" "	"українці"	26026	x	206
" "	"росіяни"	870	290	x
"м. Овруч"
" "	"українці"	14900	x	292
" "	"росіяни"	1097	129	x
"м. Радомишль"
" "	"українці"	14274	x	85
" "	"росіяни"	510	184	x
"м. Виноградів"
" "	"українці"	20324	x	98
" "	"росіяни"	801	96	x
"м. Іршава"
" "	"українці"	9264	x	...
" "	"росіяни"	121	19	x
"м. Рахів"
" "	"українці"	13369	x	65
" "	"росіяни"	257	60	x
"м. Свалява"
" "	"українці"	14583	x	72
" "	"росіяни"	437	83	x
"м. Тячів"
" "	"українці"	6747	x	19
" "	"росіяни"	232	29	x
"м. Чоп"
" "	"українці"	4040	x	195
" "	"росіяни"	711	25	x
"м. Василівка"
" "	"українці"	11643	x	1118
" "	"росіяни"	2073	250	x
"м. Дніпрорудне"
" "	"українці"	9570	x	3364
" "	"росіяни"	7628	160	x
"м. Вільнянськ"
" "	"українці"	13717	x	445
" "	"росіяни"	1567	425	x
"м. Гуляйполе"
" "	"українці"	15599	x	169
" "	"росіяни"	672	244	x
"м. Кам'янка-Дніпровська"
" "	"українці"	3890	x	3485
" "	"росіяни"	7507	126	x
"м. Оріхів"
" "	"українці"	15855	x	268
" "	"росіяни"	1291	294	x
"м. Пологи"
" "	"українці"	19730	x	424
" "	"росіяни"	1402	193	x
"м. Приморськ"
" "	"українці"	3109	x	4766
" "	"росіяни"	3547	60	x
"м. Молочанськ"
" "	"українці"	4378	x	1639
" "	"росіяни"	1553	116	x
"м. Галич"
" "	"українці"	6243	x	...
" "	"росіяни"	72	40	x
"м. Бурштин"
" "	"українці"	14670	x	13
" "	"росіяни"	334	67	x
"м. Городенка"
" "	"українці"	9361	x	...
" "	"росіяни"	80	26	x
"м. Долина"
" "	"українці"	19898	x	19
" "	"росіяни"	428	110	x
"м. Косів"
" "	"українці"	8025	x	...
" "	"росіяни"	111	37	x
"м. Надвірна"
" "	"українці"	19382	x	54
" "	"росіяни"	563	122	x
"м. Рогатин"
" "	"українці"	8365	x	...
" "	"росіяни"	40	22	x
"м. Снятин"
" "	"українці"	10000	x	...
" "	"росіяни"	87	36	x
"м. Тлумач"
" "	"українці"	8540	x	...
" "	"росіяни"	43	19	x
"м. Тисмениця"
" "	"українці"	9623	x	...
" "	"росіяни"	62	10	x
"м. Узин"
" "	"українці"	11546	x	157
" "	"росіяни"	1100	120	x
"м. Богуслав"
" "	"українці"	16043	x	56
" "	"росіяни"	505	142	x
"м. Вишгород"
" "	"українці"	17323	x	1730
" "	"росіяни"	3052	229	x
"м. Кагарлик"
" "	"українці"	13179	x	79
" "	"росіяни"	311	102	x
"м. Боярка"
" "	"українці"	29168	x	1070
" "	"росіяни"	3156	401	x
"м. Вишневе"
" "	"українці"	29563	x	1128
" "	"росіяни"	2659	276	x
"м. Миронівка"
" "	"українці"	12589	x	45
" "	"росіяни"	375	108	x
"м. Обухів"
" "	"українці"	28045	x	790
" "	"росіяни"	2905	310	x
"м. Українка"
" "	"українці"	9710	x	1156
" "	"росіяни"	2593	181	x
"м. Сквира"
" "	"українці"	17332	x	27
" "	"росіяни"	302	154	x
"м. Тараща"
" "	"українці"	12867	x	31
" "	"росіяни"	249	62	x
"м. Тетіїв"
" "	"українці"	14637	x	22
" "	"росіяни"	271	80	x
"м. Яготин"
" "	"українці"	22151	x	128
" "	"росіяни"	784	218	x
"м. Бобринець"
" "	"українці"	11758	x	12
" "	"росіяни"	224	75	x
"м. Гайворон"
" "	"українці"	15032	x	107
" "	"росіяни"	499	105	x
"м. Помічна"
" "	"українці"	10156	x	31
" "	"росіяни"	422	71	x
"м. Долинська"
" "	"українці"	16914	x	157
" "	"росіяни"	870	213	x
"м. Мала Виска"
" "	"українці"	12390	x	30
" "	"росіяни"	328	118	x
"м. Новомиргород"
" "	"українці"	12574	x	20
" "	"росіяни"	358	110	x
"м. Новоукраїнка"
" "	"українці"	18051	x	39
" "	"росіяни"	471	198	x
"м. Ульяновка"
" "	"українці"	7084	x	24
" "	"росіяни"	147	54	x
"м. Олександрівськ"
" "	"українці"	2773	x	1632
" "	"росіяни"	2215	110	x
"м. Щастя"
" "	"українці"	1488	x	5174
" "	"росіяни"	6750	54	x
"м. Молодогвардійськ"
" "	"українці"	2700	x	7196
" "	"росіяни"	14722	73	x
"м. Суходільськ"
" "	"українці"	1708	x	6904
" "	"росіяни"	14313	26	x
"м. Вахрушеве"
" "	"українці"	1907	x	5817
" "	"росіяни"	5980	29	x
"м. Міусинськ"
" "	"українці"	2519	x	1857
" "	"росіяни"	1491	29	x
"м. Петрівське"
" "	"українці"	3455	x	4473
" "	"росіяни"	7182	37	x
"м. Новодружеськ"
" "	"українці"	3649	x	2038
" "	"росіяни"	2822	64	x
"м. Привілля"
" "	"українці"	4467	x	1982
" "	"росіяни"	2259	109	x
"м. Гірське"
" "	"українці"	6025	x	1821
" "	"росіяни"	2798	100	x
"м. Золоте"
" "	"українці"	7659	x	4547
" "	"росіяни"	4130	120	x
"м. Червонопартизанськ"
" "	"українці"	3915	x	5360
" "	"росіяни"	7537	38	x
"м. Алмазна"
" "	"українці"	934	x	1957
" "	"росіяни"	2092	13	x
"м. Теплогірськ"
" "	"українці"	2751	x	3745
" "	"росіяни"	5744	118	x
"м. Кремінна"
" "	"українці"	17039	x	3187
" "	"росіяни"	3389	284	x
"м. Лутугине"
" "	"українці"	7731	x	4750
" "	"росіяни"	5634	174	x
"м. Перевальськ"
" "	"українці"	2924	x	13373
" "	"росіяни"	11961	90	x
"м. Артемівськ"
" "	"українці"	1054	x	3623
" "	"росіяни"	4072	...	x
"м. Зоринськ"
" "	"українці"	1446	x	4361
" "	"росіяни"	2616	21	x
"м. Попасна"
" "	"українці"	12495	x	7540
" "	"росіяни"	5220	237	x
"м. Сватове"
" "	"українці"	17066	x	353
" "	"росіяни"	1438	229	x
"м. Зимогір'я"
" "	"українці"	6551	x	1855
" "	"росіяни"	2422	101	x
"м. Старобільск"
" "	"українці"	13210	x	4925
" "	"росіяни"	3434	157	x
"м. Винники"
" "	"українці"	12272	x	40
" "	"росіяни"	390	68	x
"м. Стебник"
" "	"українці"	20068	x	11
" "	"росіяни"	352	83	x
"м. Соснівка"
" "	"українці"	10776	x	33
" "	"росіяни"	729	156	x
"м. Броди"
" "	"українці"	22053	x	69
" "	"росіяни"	729	148	x
"м. Буськ"
" "	"українці"	8412	x	...
" "	"росіяни"	70	30	x
"м. Городок (Львівська область)"
" "	"українці"	15284	x	26
" "	"росіяни"	385	99	x
"м. Комарно"
" "	"українці"	3923	x	...
" "	"росіяни"	19	11	x
"м. Жидачів"
" "	"українці"	11235	x	18
" "	"росіяни"	201	57	x
"м. Ходорів"
" "	"українці"	10318	x	...
" "	"росіяни"	92	33	x
"м. Золочів"
" "	"українці"	22639	x	81
" "	"росіяни"	371	88	x
"м. Глиняни"
" "	"українці"	3327	x	...
" "	"росіяни"	15	13	x
"м. Кам'янка-Бузька"
" "	"українці"	10946	x	43
" "	"росіяни"	301	76	x
"м. Мостиська"
" "	"українці"	7158	x	12
" "	"росіяни"	99	28	x
"м. Судова Вишня"
" "	"українці"	6510	x	...
" "	"росіяни"	32	23	x
"м. Жовква"
" "	"українці"	12966	x	15
" "	"росіяни"	211	52	x
"м. Дубляни"
" "	"українці"	8335	x	-
" "	"росіяни"	69	10	x
"м. Рава-Руська"
" "	"українці"	7806	x	42
" "	"росіяни"	165	42	x
"м. Миколаїв"
" "	"українці"	14410	x	...
" "	"росіяни"	177	80	x
"м. Новий Розділ"
" "	"українці"	27515	x	27
" "	"росіяни"	643	130	x
"м. Перемишляни"
" "	"українці"	7394	x	...
" "	"росіяни"	50	14	x
"м. Бібрка"
" "	"українці"	3864	x	...
" "	"росіяни"	19	12	x
"м. Пустомити"
" "	"українці"	9505	x	...
" "	"росіяни"	95	40	x
"м. Радехів"
" "	"українці"	9079	x	...
" "	"росіяни"	45	22	x
"м. Рудки"
" "	"українці"	4834	x	...
" "	"росіяни"	18	14	x
"м. Сколе"
" "	"українці"	6257	x	...
" "	"росіяни"	93	23	x
"м. Сокаль"
" "	"українці"	20498	x	17
" "	"росіяни"	458	216	x
"м. Белз"
" "	"українці"	2416	x	-
" "	"росіяни"	27	15	x
"м. Великі Мости"
" "	"українці"	5781	x	-
" "	"росіяни"	57	18	x
"м. Угнів"
" "	"українці"	981	x	-
" "	"росіяни"	...	...	x
"м. Старий Самбір"
" "	"українці"	5523	x	-
" "	"росіяни"	41	12	x
"м. Добромиль"
" "	"українці"	4744	x	...
" "	"росіяни"	35	...	x
"м. Хирів"
" "	"українці"	4438	x	...
" "	"росіяни"	76	24	x
"м. Моршин"
" "	"українці"	4691	x	...
" "	"росіяни"	179	40	x
"м. Турка"
" "	"українці"	7391	x	...
" "	"росіяни"	23	11	x
"м. Яворів"
" "	"українці"	12784	x	40
" "	"росіяни"	301	50	x
"м. Новояворівськ"
" "	"українці"	25743	x	31
" "	"росіяни"	435	102	x
"м. Баштанка"
" "	"українці"	12199	x	45
" "	"росіяни"	438	124	x
"м. Новий Буг"
" "	"українці"	15005	x	121
" "	"росіяни"	538	171	x
"м. Нова Одеса"
" "	"українці"	13060	x	69
" "	"росіяни"	555	114	x
"м. Снігурівка"
" "	"українці"	12740	x	784
" "	"росіяни"	1233	132	x
"м. Ананьїв"
" "	"українці"	8018	x	178
" "	"росіяни"	606	78	x
"м. Арциз"
" "	"українці"	3501	x	2983
" "	"росіяни"	5192	56	x
"м. Балта"
" "	"українці"	15648	x	711
" "	"росіяни"	2464	194	x
"м. Біляївка"
" "	"українці"	11550	x	408
" "	"росіяни"	1427	123	x
"м. Березівка"
" "	"українці"	8507	x	29
" "	"росіяни"	376	55	x
"м. Болград"
" "	"українці"	2300	x	1521
" "	"росіяни"	3751	37	x
"м. Кілія"
" "	"українці"	8780	x	3888
" "	"росіяни"	6364	133	x
"м. Вилкове"
" "	"українці"	1416	x	1078
" "	"росіяни"	6581	14	x
"м. Кодима"
" "	"українці"	8696	x	115
" "	"росіяни"	420	66	x
"м. Роздільна"
" "	"українці"	11387	x	2718
" "	"росіяни"	2330	173	x
"м. Рені"
" "	"українці"	2441	x	4221
" "	"росіяни"	5502	58	x
"м. Татарбунари"
" "	"українці"	8665	x	82
" "	"росіяни"	568	142	x
"м. Гадяч"
" "	"українці"	20936	x	94
" "	"росіяни"	826	218	x
"м. Глобине"
" "	"українці"	12032	x	70
" "	"росіяни"	420	147	x
"м. Гребінка"
" "	"українці"	10741	x	109
" "	"росіяни"	480	112	x
"м. Зіньків"
" "	"українці"	9958	x	48
" "	"росіяни"	231	73	x
"м. Карлівка"
" "	"українці"	16776	x	82
" "	"росіяни"	590	223	x
"м. Кобеляки"
" "	"українці"	11273	x	45
" "	"росіяни"	381	142	x
"м. Лохвиця"
" "	"українці"	11738	x	44
" "	"росіяни"	322	120	x
"м. Червонозаводське"
" "	"українці"	8644	x	22
" "	"росіяни"	211	93	x
"м. Пирятин"
" "	"українці"	15319	x	120
" "	"росіяни"	857	112	x
"м. Хорол"
" "	"українці"	14065	x	55
" "	"росіяни"	303	133	x
"м. Березне"
" "	"українці"	13227	x	12
" "	"росіяни"	113	31	x
"м. Дубровиця"
" "	"українці"	9382	x	16
" "	"росіяни"	145	38	x
"м. Здолбунів"
" "	"українці"	22567	x	98
" "	"росіяни"	1083	276	x
"м. Корець"
" "	"українці"	8186	x	14
" "	"росіяни"	91	62	x
"м. Костопіль"
" "	"українці"	28950	x	71
" "	"росіяни"	613	217	x
"м. Сарни"
" "	"українці"	26571	x	181
" "	"росіяни"	852	148	x
"м. Радивилів"
" "	"українці"	9950	x	10
" "	"росіяни"	116	53	x
"м. Білопілля"
" "	"українці"	16698	x	153
" "	"росіяни"	827	214	x
"м. Ворожба"
" "	"українці"	7545	x	63
" "	"росіяни"	502	128	x
"м. Буринь"
" "	"українці"	10932	x	55
" "	"росіяни"	393	90	x
"м. Кролевець"
" "	"українці"	23610	x	229
" "	"росіяни"	890	210	x
"м. Путивль"
" "	"українці"	6220	x	2503
" "	"росіяни"	8257	124	x
"м. Середина-Буда"
" "	"українці"	1029	x	5110
" "	"росіяни"	1315	...	x
"м. Тростянець"
" "	"українці"	20559	x	244
" "	"росіяни"	1687	545	x
"м. Дружба"
" "	"українці"	3246	x	1688
" "	"росіяни"	662	34	x
"м. Бережани"
" "	"українці"	16755	x	50
" "	"росіяни"	175	65	x
"м. Борщів"
" "	"українці"	10977	x	...
" "	"росіяни"	120	49	x
"м. Бучач"
" "	"українці"	12352	x	...
" "	"росіяни"	64	41	x
"м. Копичинці"
" "	"українці"	6858	x	...
" "	"росіяни"	63	19	x
"м. Хоростків"
" "	"українці"	7208	x	-
" "	"росіяни"	43	14	x
"м. Заліщики"
" "	"українці"	9559	x	...
" "	"росіяни"	98	38	x
"м. Збараж"
" "	"українці"	12702	x	49
" "	"росіяни"	158	56	x
"м. Зборів"
" "	"українці"	7274	x	...
" "	"росіяни"	25	15	x
"м. Кременець"
" "	"українці"	21075	x	25
" "	"росіяни"	411	135	x
"м. Почаів"
" "	"українці"	7790	x	...
" "	"росіяни"	125	32	x
"м. Ланівці"
" "	"українці"	8388	x	...
" "	"росіяни"	89	29	x
"м. Монастириська"
" "	"українці"	6204	x	...
" "	"росіяни"	31	13	x
"м. Скалат"
" "	"українці"	3803	x	-
" "	"росіяни"	17	23	x
"м. Підгайці"
" "	"українці"	3187	x	-
" "	"росіяни"	...	...	x
"м. Теребовля"
" "	"українці"	13160	x	14
" "	"росіяни"	147	50	x
"м. Чортків"
" "	"українці"	27501	x	47
" "	"росіяни"	904	126	x
"м. Шумськ"
" "	"українці"	4906	x	-
" "	"росіяни"	24	27	x
"м. Балаклія"
" "	"українці"	22232	x	3603
" "	"росіяни"	5355	436	x
"м. Барвінкове"
" "	"українці"	11505	x	148
" "	"росіяни"	746	152	x
"м. Богодухів"
" "	"українці"	16378	x	246
" "	"росіяни"	936	227	x
"м. Валки"
" "	"українці"	9685	x	57
" "	"росіяни"	377	70	x
"м. Вовчанськ"
" "	"українці"	16495	x	531
" "	"росіяни"	2558	397	x
"м. Зміїв"
" "	"українці"	13865	x	429
" "	"росіяни"	2187	296	x
"м. Дергачі"
" "	"українці"	17266	x	236
" "	"росіяни"	2060	375	x
"м. Красноград"
" "	"українці"	17096	x	787
" "	"росіяни"	3867	281	x
"м. Мерефа"
" "	"українці"	19160	x	2255
" "	"росіяни"	2856	323	x
"м. Південне"
" "	"українці"	5137	x	1613
" "	"росіяни"	1512	69	x
"м.Таврійськ"
" "	"українці"	7327	x	1771
" "	"росіяни"	2210	174	x
"м. Берислав"
" "	"українці"	13408	x	386
" "	"росіяни"	1092	252	x
"м. Генічеськ"
" "	"українці"	6197	x	8837
" "	"росіяни"	5532	119	x
"м. Гола Пристань"
" "	"українці"	12492	x	870
" "	"росіяни"	1950	182	x
"м. Скадовськ"
" "	"українці"	13782	x	1351
" "	"росіяни"	3180	265	x
"м. Цюрупинськ"
" "	"українці"	15917	x	2895
" "	"росіяни"	4155	264	x
"м. Волочиськ"
" "	"українці"	19905	x	40
" "	"росіяни"	288	148	x
"м. Городок (Хмельницька область)"
" "	"українці"	13865	x	21
" "	"росіяни"	193	118	x
"м. Деражня"
" "	"українці"	10064	x	13
" "	"росіяни"	161	51	x
"м. Дунаївці"
" "	"українці"	15772	x	65
" "	"росіяни"	359	85	x
"м. Ізяслав"
" "	"українці"	16621	x	298
" "	"росіяни"	876	183	x
"м. Красилів"
" "	"українці"	19133	x	42
" "	"росіяни"	490	208	x
"м. Полонне"
" "	"українці"	20967	x	41
" "	"росіяни"	300	165	x
"м. Городище"
" "	"українці"	14913	x	34
" "	"росіяни"	339	101	x
"м. Жашків"
" "	"українці"	15073	x	21
" "	"росіяни"	268	68	x
"м. Звенигородка"
" "	"українці"	18854	x	36
" "	"росіяни"	512	138	x
"м. Кам'янка"
" "	"українці"	14175	x	88
" "	"росіяни"	483	158	x
"м. Корсунь-Шевченківський"
" "	"українці"	17889	x	88
" "	"росіяни"	626	153	x
"м. Монастирище"
" "	"українці"	9094	x	...
" "	"росіяни"	187	17	x
"м. Тальне"
" "	"українці"	15671	x	28
" "	"росіяни"	283	97	x
"м. Христинівка"
" "	"українці"	10884	x	51
" "	"росіяни"	329	77	x
"м. Чигирин"
" "	"українці"	10992	x	79
" "	"росіяни"	514	97	x
"м. Шпола"
" "	"українці"	18439	x	35
" "	"росіяни"	364	136	x
"м. Вижниця"
" "	"українці"	4632	x	20
" "	"росіяни"	184	19	x
"м. Вашківці"
" "	"українці"	5797	x	...
" "	"росіяни"	63	17	x
"м. Герца"
" "	"українці"	324	x	34
" "	"росіяни"	123	...	x
"м. Заставна"
" "	"українці"	8615	x	-
" "	"росіяни"	73	18	x
"м. Кіцмань"
" "	"українці"	7212	x	...
" "	"росіяни"	143	33	x
"м. Новоселиця"
" "	"українці"	4335	x	125
" "	"росіяни"	515	49	x
"м. Сокиряни"
" "	"українці"	9068	x	74
" "	"росіяни"	539	95	x
"м. Сторожинець"
" "	"українці"	10502	x	282
" "	"росіяни"	595	115	x
"м. Хотин"
" "	"українці"	10298	x	38
" "	"росіяни"	494	74	x
"м. Бахмач"
" "	"українці"	18632	x	81
" "	"росіяни"	753	144	x
"м. Бобровиця"
" "	"українці"	11321	x	17
" "	"росіяни"	236	32	x
"м. Борзна"
" "	"українці"	11154	x	24
" "	"росіяни"	188	63	x
"м. Городня"
" "	"українці"	11890	x	1234
" "	"росіяни"	528	97	x
"м. Ічня"
" "	"українці"	12154	x	36
" "	"росіяни"	262	109	x
"м. Остер"
" "	"українці"	6541	x	108
" "	"росіяни"	320	30	x
"м. Корюківка"
" "	"українці"	13359	x	189
" "	"росіяни"	388	92	x
"м. Мена"
" "	"українці"	12039	x	58
" "	"росіяни"	275	108	x
"м. Новгород-Сіверський"
" "	"українці"	9776	x	4309
" "	"росіяни"	718	83	x
"м. Носівка"
" "	"українці"	15257	x	47
" "	"росіяни"	271	69	x
"м. Семенівка"
" "	"українці"	7442	x	1522
" "	"росіяни"	438	76	x
"м. Щорс"
" "	"українці"	9385	x	1807
" "	"росіяни"	700	92	x
"м. Інкерман"
" "	"українці"	541	x	1623
" "	"росіяни"	7626	...	x

" "
"Пояснення умовних знакiв: "
"тире (-) - явища не було "
"крапки (...) - дані не оприлюднюються з метою забезпечення виконання "
"вимог Закону України ``Про державну статистику`` щодо "
"конфіденційності інформації "
"символ (х) - заповнення рубрики за характером побудови таблиці не має "
"сенсу"

